192,116,240,116,240,145,192,145
249,116,332,116,332,144,249,144
69,118,181,118,181,148,69,148
318,189,338,189,338,209,318,209
248,190,316,192,315,211,247,208
139,191,194,194,193,212,137,209
369,192,409,192,409,206,369,206
68,193,88,193,88,210,68,210
90,192,136,194,135,212,90,210
341,193,364,193,364,206,341,206
198,194,242,194,242,210,198,210
292,216,375,213,376,233,293,235
378,214,397,214,397,233,378,233
401,214,445,214,445,233,401,233
218,216,264,216,264,233,218,233
112,217,158,217,158,236,112,236
268,217,289,217,289,232,268,232
66,218,86,218,86,237,66,237
89,218,108,218,108,234,89,234
161,218,220,218,220,233,161,233
260,242,315,238,316,257,261,261
337,240,397,240,397,258,337,258
322,242,332,242,332,257,322,257
401,240,476,245,475,264,400,259
81,242,157,242,157,264,81,264
162,242,196,242,196,260,162,260
200,242,257,242,257,258,200,258
68,245,76,245,76,260,68,260
183,269,260,264,262,283,184,288
281,265,337,265,337,284,281,284
268,268,277,268,277,282,268,282
66,268,86,268,86,286,66,286
88,268,132,268,132,288,88,288
340,269,436,269,436,286,340,286
134,272,178,270,179,285,134,287
366,289,401,289,401,313,366,313
68,292,118,292,118,312,68,312
124,292,172,292,172,312,124,312
176,292,226,292,226,309,176,309
232,292,242,292,242,309,232,309
248,292,297,292,297,310,248,310
300,293,322,293,322,308,300,308
328,294,361,294,361,308,328,308
80,317,137,317,137,337,80,337
238,317,304,317,304,337,238,337
307,314,375,320,374,341,305,335
404,317,448,317,448,338,404,338
141,318,184,318,184,337,141,337
68,321,76,321,76,336,68,336
377,320,400,320,400,336,377,336
187,322,233,321,233,337,188,338
452,321,496,321,496,340,452,340
212,344,294,341,294,359,213,362
318,342,410,342,410,361,318,361
414,342,461,342,461,361,414,361
68,344,116,344,116,364,68,364
119,341,167,345,166,366,117,362
169,344,210,344,210,362,169,362
301,348,313,348,313,360,301,360
213,368,258,368,258,388,213,388
317,368,341,368,341,388,317,388
342,367,421,367,421,387,342,387
423,368,498,366,498,385,424,387
66,369,117,369,117,388,66,388
146,369,209,369,209,388,146,388
121,372,142,372,142,386,121,386
261,372,314,372,314,386,261,386
318,393,357,393,357,413,318,413
361,393,432,393,432,413,361,413
67,396,109,394,110,413,68,415
113,394,142,394,142,413,113,413
196,394,238,394,238,417,196,417
241,394,313,394,313,412,241,412
146,398,190,398,190,414,146,414
68,420,150,420,150,438,68,438
156,419,213,421,213,440,155,438
217,420,274,420,274,438,217,438
318,420,352,420,352,438,318,438
426,419,497,419,497,438,426,438
278,421,312,421,312,438,278,438
356,424,422,424,422,441,356,441
69,445,110,445,110,464,69,464
114,445,168,445,168,464,114,464
170,445,222,445,222,462,170,462
253,445,309,445,309,464,253,464
349,445,377,445,377,464,349,464
379,448,432,444,434,464,380,467
225,448,254,448,254,462,225,462
434,448,497,448,497,462,434,462
313,449,345,449,345,462,313,462
81,470,140,470,140,492,81,492
193,470,242,470,242,489,193,489
302,470,348,470,348,489,302,489
352,470,409,470,409,489,352,489
412,470,457,472,457,491,411,489
486,470,540,470,540,489,486,489
68,473,76,473,76,488,68,488
144,472,189,472,189,488,144,488
246,472,298,472,298,489,246,489
458,474,482,474,482,489,458,489
166,496,222,496,222,513,166,513
274,499,347,493,349,514,276,520
68,497,106,497,106,514,68,514
110,497,161,497,161,513,110,513
226,497,273,497,273,516,226,516
352,497,400,497,400,514,352,514
402,501,449,501,449,516,402,516
453,501,496,501,496,514,453,514
81,521,130,521,130,542,81,542
140,521,200,521,200,540,140,540
204,521,230,521,230,540,204,540
233,521,278,521,278,540,233,540
284,521,316,521,316,541,284,541
361,521,440,521,440,544,361,544
69,524,77,524,77,537,69,537
317,522,357,522,357,544,317,544
73,592,148,592,148,608,73,608
153,592,206,592,206,609,153,609
204,594,242,594,242,609,204,609
